epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,209.043,0.58234,0.89587,0.97642,0.39523,0.00333142,0.00333142,0.00333142
2,401.976,0.45408,0.87525,0.97544,0.45552,0.00659877,0.00659877,0.00659877
3,592.198,0.51397,0.83399,0.95432,0.67623,0.00980012,0.00980012,0.00980012
4,781.788,0.6895,0.83006,0.95776,0.72291,0.009703,0.009703,0.009703
5,971.38,0.63755,0.85216,0.96365,0.59771,0.009604,0.009604,0.009604
6,1161.27,0.71224,0.85216,0.96807,0.5644,0.009505,0.009505,0.009505
7,1350.8,0.64452,0.87475,0.97102,0.5082,0.009406,0.009406,0.009406
8,1540.4,0.59969,0.86051,0.96955,0.52353,0.009307,0.009307,0.009307
9,1729.6,0.57979,0.8669,0.97053,0.49881,0.009208,0.009208,0.009208
10,1918.92,0.52704,0.87377,0.97004,0.49927,0.009109,0.009109,0.009109
11,2108.51,0.49988,0.88703,0.97004,0.49788,0.00901,0.00901,0.00901
12,2298.77,0.47474,0.89195,0.97299,0.45832,0.008911,0.008911,0.008911
13,2489.2,0.46345,0.87917,0.97888,0.46529,0.008812,0.008812,0.008812
14,2679.02,0.4251,0.89538,0.97642,0.45186,0.008713,0.008713,0.008713
15,2869.15,0.40782,0.8998,0.9779,0.43315,0.008614,0.008614,0.008614
16,3059.86,0.40277,0.8944,0.97741,0.38564,0.008515,0.008515,0.008515
17,3249.53,0.37881,0.89735,0.97692,0.41434,0.008416,0.008416,0.008416
18,3439.44,0.36361,0.90324,0.98232,0.37264,0.008317,0.008317,0.008317
19,3630.09,0.37107,0.90422,0.98183,0.37182,0.008218,0.008218,0.008218
20,3820.7,0.32987,0.90128,0.98134,0.40216,0.008119,0.008119,0.008119
21,4011.32,0.32838,0.90521,0.98183,0.39458,0.00802,0.00802,0.00802
22,4202.33,0.31794,0.9057,0.98183,0.37516,0.007921,0.007921,0.007921
23,4393.31,0.30686,0.91356,0.97937,0.36449,0.007822,0.007822,0.007822
24,4584.02,0.29556,0.92191,0.98134,0.36163,0.007723,0.007723,0.007723
25,4774.86,0.27752,0.92289,0.98428,0.3334,0.007624,0.007624,0.007624
26,4965.85,0.26785,0.92485,0.98428,0.33261,0.007525,0.007525,0.007525
27,5156.67,0.25265,0.92633,0.98576,0.33004,0.007426,0.007426,0.007426
28,5346.84,0.24229,0.91306,0.98527,0.37349,0.007327,0.007327,0.007327
29,5537.15,0.23545,0.92141,0.98625,0.33624,0.007228,0.007228,0.007228
30,5728.37,0.22705,0.92731,0.98379,0.31919,0.007129,0.007129,0.007129
31,5919.69,0.22828,0.9278,0.98527,0.29525,0.00703,0.00703,0.00703
32,6109.62,0.22,0.92583,0.98477,0.33283,0.006931,0.006931,0.006931
33,6299.6,0.21369,0.92927,0.98379,0.3196,0.006832,0.006832,0.006832
34,6490.12,0.20043,0.92976,0.98723,0.31673,0.006733,0.006733,0.006733
35,6681.39,0.19352,0.92731,0.98527,0.3064,0.006634,0.006634,0.006634
36,6872.27,0.18735,0.9278,0.98428,0.32182,0.006535,0.006535,0.006535
37,7063.4,0.17991,0.92829,0.98477,0.3512,0.006436,0.006436,0.006436
38,7254.26,0.17296,0.93271,0.98527,0.32154,0.006337,0.006337,0.006337
39,7445.94,0.16843,0.93075,0.98625,0.317,0.006238,0.006238,0.006238
40,7637.7,0.17769,0.93222,0.98674,0.32548,0.006139,0.006139,0.006139
41,7829.38,0.16163,0.93173,0.98527,0.30911,0.00604,0.00604,0.00604
42,8020.86,0.15961,0.93075,0.98625,0.32698,0.005941,0.005941,0.005941
43,8212.67,0.1469,0.93369,0.98576,0.32219,0.005842,0.005842,0.005842
44,8404.42,0.14979,0.93075,0.98625,0.32661,0.005743,0.005743,0.005743
45,8638.36,0.14591,0.93222,0.98772,0.30699,0.005644,0.005644,0.005644
46,8827.94,0.13576,0.93566,0.98576,0.32191,0.005545,0.005545,0.005545
47,9017.48,0.13908,0.93418,0.98772,0.33217,0.005446,0.005446,0.005446
48,9207.85,0.1361,0.93664,0.98674,0.30715,0.005347,0.005347,0.005347
49,9398.83,0.1197,0.93468,0.98527,0.31397,0.005248,0.005248,0.005248
50,9589.8,0.11995,0.9332,0.98625,0.32003,0.005149,0.005149,0.005149
51,9780.22,0.12225,0.93566,0.98723,0.3099,0.00505,0.00505,0.00505
52,9970.14,0.10863,0.93517,0.98674,0.30883,0.004951,0.004951,0.004951
53,10160.7,0.10732,0.93517,0.98674,0.31617,0.004852,0.004852,0.004852
54,10349.5,0.11205,0.93468,0.98674,0.31938,0.004753,0.004753,0.004753
55,10556.9,0.09578,0.93615,0.98576,0.32288,0.004654,0.004654,0.004654
56,10747,0.09609,0.94008,0.98625,0.30403,0.004555,0.004555,0.004555
57,10937.2,0.09497,0.94008,0.98576,0.29537,0.004456,0.004456,0.004456
58,11128.5,0.09555,0.94008,0.98527,0.29125,0.004357,0.004357,0.004357
59,11319.5,0.08949,0.93959,0.98674,0.28795,0.004258,0.004258,0.004258
60,11509.4,0.07844,0.93959,0.98674,0.29263,0.004159,0.004159,0.004159
61,11699,0.08039,0.93959,0.98625,0.29016,0.00406,0.00406,0.00406
62,11889.2,0.07991,0.94106,0.98674,0.2913,0.003961,0.003961,0.003961
63,12079.7,0.07156,0.94008,0.98723,0.30177,0.003862,0.003862,0.003862
64,12269.7,0.06824,0.94057,0.98772,0.31127,0.003763,0.003763,0.003763
65,12459.8,0.06804,0.94106,0.9887,0.28733,0.003664,0.003664,0.003664
66,12650.2,0.0624,0.94253,0.98919,0.28796,0.003565,0.003565,0.003565
67,12840.4,0.06087,0.94204,0.9887,0.29128,0.003466,0.003466,0.003466
