epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,888.196,2.66188,0.59627,0.87083,1.49503,0.0670379,0.000332951,0.000332951
2,1749.4,1.54383,0.67583,0.89489,1.22742,0.0340247,0.000653092,0.000653092
3,2595.29,1.36658,0.70138,0.91454,1.10247,0.000998303,0.000960032,0.000960032
4,3470.3,1.16988,0.74853,0.94253,0.89385,0.0009406,0.0009406,0.0009406
5,4322.7,0.98887,0.7888,0.94941,0.73563,0.0009208,0.0009208,0.0009208
6,5183.35,0.87126,0.80354,0.95481,0.70079,0.000901,0.000901,0.000901
7,6030.32,0.78495,0.82662,0.96169,0.61088,0.0008812,0.0008812,0.0008812
8,6903.23,0.70362,0.82711,0.96611,0.62007,0.0008614,0.0008614,0.0008614
9,7770.69,0.61754,0.82367,0.96464,0.57737,0.0008416,0.0008416,0.0008416
10,8638.46,0.57855,0.84234,0.96415,0.58991,0.0008218,0.0008218,0.0008218
11,9492.02,0.52412,0.84332,0.97102,0.52703,0.000802,0.000802,0.000802
12,10346.5,0.4836,0.86248,0.97348,0.47965,0.0007822,0.0007822,0.0007822
13,11361.3,0.44381,0.86591,0.97102,0.48152,0.0007624,0.0007624,0.0007624
14,12378.4,0.41751,0.86984,0.97348,0.46672,0.0007426,0.0007426,0.0007426
15,13451.7,0.38328,0.8836,0.97741,0.425,0.0007228,0.0007228,0.0007228
16,14563.9,0.35215,0.88212,0.97888,0.43075,0.000703,0.000703,0.000703
17,15529.8,0.33312,0.88114,0.9779,0.40325,0.0006832,0.0006832,0.0006832
18,16426.4,0.31482,0.88703,0.97986,0.42186,0.0006634,0.0006634,0.0006634
19,17326.7,0.28188,0.89047,0.97741,0.39954,0.0006436,0.0006436,0.0006436
20,18223.3,0.26495,0.89735,0.98183,0.37163,0.0006238,0.0006238,0.0006238
21,19197.7,0.25141,0.90275,0.98084,0.37462,0.000604,0.000604,0.000604
22,20267.3,0.24456,0.90815,0.97986,0.35771,0.0005842,0.0005842,0.0005842
23,21343.1,0.21359,0.90815,0.97937,0.36901,0.0005644,0.0005644,0.0005644
24,22411.5,0.1962,0.90275,0.98035,0.37773,0.0005446,0.0005446,0.0005446
25,23478.5,0.18508,0.90864,0.98084,0.36421,0.0005248,0.0005248,0.0005248
26,24550.6,0.1751,0.90521,0.97692,0.38825,0.000505,0.000505,0.000505
27,25634.2,0.16178,0.91159,0.98035,0.39211,0.0004852,0.0004852,0.0004852
28,26580.7,0.1433,0.91061,0.9833,0.37345,0.0004654,0.0004654,0.0004654
29,27506.4,0.12721,0.91749,0.98232,0.35529,0.0004456,0.0004456,0.0004456
30,28509.9,0.12634,0.91945,0.97986,0.35869,0.0004258,0.0004258,0.0004258
31,29370.4,0.12037,0.91699,0.98035,0.36787,0.000406,0.000406,0.000406
32,30238.9,0.10045,0.91257,0.98232,0.37713,0.0003862,0.0003862,0.0003862
33,31105.3,0.09736,0.92191,0.98281,0.33964,0.0003664,0.0003664,0.0003664
34,31974.3,0.09305,0.92092,0.98232,0.34872,0.0003466,0.0003466,0.0003466
35,32841.8,0.0789,0.91749,0.98428,0.3426,0.0003268,0.0003268,0.0003268
36,33712.2,0.06922,0.92682,0.98625,0.32969,0.000307,0.000307,0.000307
37,34566.5,0.06825,0.92731,0.98527,0.32857,0.0002872,0.0002872,0.0002872
38,35425.4,0.05449,0.92485,0.98183,0.33721,0.0002674,0.0002674,0.0002674
39,36289.7,0.05138,0.92289,0.9833,0.33775,0.0002476,0.0002476,0.0002476
40,37152.8,0.05311,0.92191,0.98527,0.32932,0.0002278,0.0002278,0.0002278
41,38008.3,0.04081,0.92878,0.98625,0.32913,0.000208,0.000208,0.000208
42,38872.7,0.03787,0.92878,0.98527,0.32661,0.0001882,0.0001882,0.0001882
43,39735.3,0.03027,0.92927,0.98576,0.32843,0.0001684,0.0001684,0.0001684
44,40598.3,0.02408,0.92927,0.98527,0.32364,0.0001486,0.0001486,0.0001486
45,41461,0.01898,0.92633,0.98527,0.34283,0.0001288,0.0001288,0.0001288
46,42317.5,0.01696,0.92534,0.98576,0.33991,0.000109,0.000109,0.000109
