                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8613,                0.62525,                0.88458,                 4.1172,               0.067038,             0.00033295,             0.00033295
                      2,                 1.5233,                0.69548,                0.91454,                 4.0012,               0.034025,             0.00065309,             0.00065309
                      3,                 1.2915,                0.72053,                0.93124,                 3.9658,              0.0009983,             0.00096003,             0.00096003
                      4,                 1.1505,                0.75589,                0.93517,                 3.9217,              0.0009406,              0.0009406,              0.0009406
                      5,                   0.98,                0.76523,                0.94106,                 3.9116,              0.0009406,              0.0009406,              0.0009406
                      6,                0.87971,                0.79666,                0.95776,                 3.8802,              0.0009208,              0.0009208,              0.0009208
                      7,                0.78747,                0.80845,                 0.9558,                  3.858,               0.000901,               0.000901,               0.000901
                      8,                0.73098,                0.79224,                0.95039,                 3.8715,              0.0008812,              0.0008812,              0.0008812
                      9,                0.67148,                0.82318,                0.95923,                 3.8409,              0.0008614,              0.0008614,              0.0008614
                     10,                0.61583,                0.81336,                0.95923,                 3.8415,              0.0008416,              0.0008416,              0.0008416
                     11,                0.56923,                 0.8335,                0.96562,                  3.823,              0.0008218,              0.0008218,              0.0008218
                     12,                 0.5333,                0.82908,                0.96513,                 3.8238,               0.000802,               0.000802,               0.000802
                     13,                0.49762,                0.84086,                0.96415,                 3.8091,              0.0007822,              0.0007822,              0.0007822
                     14,                0.47146,                0.84234,                0.96709,                 3.8087,              0.0007624,              0.0007624,              0.0007624
                     15,                0.41939,                0.85413,                0.97053,                 3.7929,              0.0007426,              0.0007426,              0.0007426
                     16,                0.40606,                0.82711,                0.96611,                  3.815,              0.0007228,              0.0007228,              0.0007228
                     17,                0.38601,                0.84823,                0.96365,                  3.795,               0.000703,               0.000703,               0.000703
                     18,                0.35803,                0.84332,                0.96906,                 3.7995,              0.0006832,              0.0006832,              0.0006832
                     19,                0.33355,                0.85511,                0.97397,                 3.7903,              0.0006634,              0.0006634,              0.0006634
                     20,                0.32827,                0.86297,                0.97299,                 3.7779,              0.0006436,              0.0006436,              0.0006436
                     21,                0.29739,                0.87328,                  0.972,                 3.7737,              0.0006238,              0.0006238,              0.0006238
                     22,                0.28502,                0.86739,                0.97642,                 3.7743,               0.000604,               0.000604,               0.000604
                     23,                0.25905,                0.87132,                0.97299,                 3.7693,              0.0005842,              0.0005842,              0.0005842
                     24,                0.24543,                0.86739,                0.97004,                 3.7759,              0.0005644,              0.0005644,              0.0005644
                     25,                0.24197,                0.87623,                0.97151,                 3.7647,              0.0005446,              0.0005446,              0.0005446
                     26,                0.21815,                0.87525,                0.97741,                 3.7603,              0.0005248,              0.0005248,              0.0005248
                     27,                0.20425,                0.87967,                0.97544,                 3.7605,               0.000505,               0.000505,               0.000505
                     28,                0.19821,                0.88114,                0.97692,                 3.7578,              0.0004852,              0.0004852,              0.0004852
                     29,                0.18671,                0.88065,                 0.9779,                 3.7599,              0.0004654,              0.0004654,              0.0004654
                     30,                0.17635,                0.89047,                0.97741,                 3.7487,              0.0004456,              0.0004456,              0.0004456
                     31,                0.15692,                0.88409,                0.97544,                 3.7512,              0.0004258,              0.0004258,              0.0004258
                     32,                0.14755,                 0.8944,                0.97397,                 3.7467,               0.000406,               0.000406,               0.000406
                     33,                0.13418,                0.88556,                0.97741,                 3.7478,              0.0003862,              0.0003862,              0.0003862
                     34,                  0.129,                0.88851,                0.97544,                 3.7496,              0.0003664,              0.0003664,              0.0003664
                     35,                0.12036,                0.89195,                0.97986,                 3.7445,              0.0003466,              0.0003466,              0.0003466
                     36,                0.11497,                0.89047,                0.98035,                 3.7435,              0.0003268,              0.0003268,              0.0003268
                     37,                0.10768,                0.89587,                0.97642,                 3.7403,               0.000307,               0.000307,               0.000307
                     38,                0.08656,                0.89833,                0.97888,                 3.7386,              0.0002872,              0.0002872,              0.0002872
                     39,                0.08361,                0.89489,                 0.9779,                 3.7399,              0.0002674,              0.0002674,              0.0002674
                     40,                0.07499,                0.89538,                0.97839,                 3.7428,              0.0002476,              0.0002476,              0.0002476
                     41,                0.06562,                0.89735,                0.97937,                 3.7383,              0.0002278,              0.0002278,              0.0002278
                     42,                0.06401,                0.90128,                0.97888,                 3.7372,               0.000208,               0.000208,               0.000208
                     43,                 0.0573,                0.89637,                0.98084,                 3.7346,              0.0001882,              0.0001882,              0.0001882
                     44,                0.04794,                0.89735,                0.97839,                 3.7354,              0.0001684,              0.0001684,              0.0001684
                     45,                 0.0405,                0.90128,                0.97888,                 3.7347,              0.0001486,              0.0001486,              0.0001486
                     46,                0.04165,                0.90472,                0.98134,                 3.7316,              0.0001288,              0.0001288,              0.0001288
                     47,                0.03974,                0.90177,                0.98035,                 3.7321,               0.000109,               0.000109,               0.000109
                     48,                0.02993,                0.89833,                0.97986,                 3.7322,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.02566,                0.90128,                0.98035,                 3.7315,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.02966,                0.90177,                0.97986,                 3.7315,               4.96e-05,               4.96e-05,               4.96e-05
